,Mean,Standard Deviation,Range,Min,Max
0,1.0,0.0,0.0,1.0,1.0
1,6.5924,3.11127983955,11.0,1.0,12.0
2,15.8021,8.621330268,30.0,1.0,31.0
3,2014.3185,0.465894569618,1.0,2014.0,2015.0
4,3.3752,0.943199321459,32.0,1.0,33.0
5,2.118875,0.765089853792,7.25,0.5,7.75
6,2080.2232,911.28879044,9520.0,370.0,9890.0
7,15089.2014,41201.8346721,1650787.0,572.0,1651359.0
8,1.5037,0.542619857727,2.5,1.0,3.5
9,0.007,0.0833726573884,1.0,0.0,1.0
10,0.2294,0.755893934359,4.0,0.0,4.0
11,3.4091,0.653557334899,4.0,1.0,5.0
12,7.6732,1.18000074576,9.0,4.0,13.0
13,1793.0993,830.823890147,8490.0,370.0,8860.0
14,287.1239,434.983512732,2720.0,0.0,2720.0
15,1971.1249,29.4791197289,115.0,1900.0,2015.0
16,1973.4386,28.8820260723,115.0,1900.0,2015.0
17,0.4146,0.492652859527,1.0,0.0,1.0
18,47.55981419,0.138643656839,0.6217,47.1559,47.7776
19,-122.2132865,0.141397614611,1.195,-122.514,-121.319
20,1994.3261,691.865705147,5650.0,460.0,6110.0
21,12746.3234,28239.8309451,870540.0,660.0,871200.0
